condition,sample,nat_sync_c,nat_sync_d,tts_sync_c,tts_sync_d
r3_indextts2_baseline,1,4.767,8.566,5.978,7.708
r3_indextts2_baseline,2,5.249,8.86,7.902,6.602
r3_indextts2_baseline,3,6.217,7.745,6.958,7.081
r3_indextts2_baseline,4,5.307,9.263,6.272,9.07
r3_indextts2_baseline,5,5.321,8.08,7.209,7.467
r3_indextts2_baseline,6,5.377,8.516,6.635,8.146
r3_indextts2_baseline,7,6.468,7.325,6.907,7.847
r3_indextts2_baseline,8,5.862,8.257,6.625,7.687
r3_indextts2_baseline,9,6.371,6.855,5.704,8.178
r3_indextts2_baseline,10,5.429,8.093,6.229,7.475
r3_indextts2_baseline,11,5.916,7.986,6.952,7.687
r3_indextts2_baseline,12,7.186,7.052,6.495,8.391
r3_indextts2_baseline,13,4.488,8.528,7.614,7.009
r3_gsv_tts,1,4.839,8.562,5.709,8.298
r3_gsv_tts,2,5.273,8.814,7.366,7.918
r3_gsv_tts,3,6.457,7.569,7.228,7.228
r3_gsv_tts,4,5.53,9.027,5.546,8.585
r3_gsv_tts,5,5.242,8.321,6.579,8.289
r3_gsv_tts,6,5.565,8.289,4.816,9.838
r3_gsv_tts,7,6.473,7.347,8.102,7.016
r3_gsv_tts,8,6.04,8.332,6.724,7.085
r3_gsv_tts,9,6.308,6.922,4.509,8.884
r3_gsv_tts,10,5.621,7.895,7.027,6.947
r3_gsv_tts,11,6.056,7.794,5.776,7.616
r3_gsv_tts,12,7.08,7.168,7.382,7.041
r3_gsv_tts,13,4.341,8.86,5.939,8.205
