emotion,sample,nat_sync_c,nat_sync_d,tts_sync_c,tts_sync_d
happy,1,4.687,8.543,5.496,8.411
happy,4,5.311,9.333,6.423,8.646
happy,7,6.447,7.314,6.793,7.572
happy,10,5.746,7.931,6.631,7.758
happy,13,4.489,8.537,7.783,6.796
angry,1,4.811,8.526,6.985,7.547
angry,4,5.198,9.288,7.875,7.746
angry,7,6.318,7.343,9.048,6.339
angry,10,5.436,8.119,7.546,6.593
angry,13,4.554,8.512,9.089,5.824
sad,1,4.763,8.506,5.004,7.819
sad,4,5.279,9.331,5.122,8.806
sad,7,6.547,7.246,4.828,7.826
sad,10,5.366,8.033,5.7,8.057
sad,13,4.432,8.691,6.461,6.557
afraid,1,4.623,8.683,4.611,7.669
afraid,4,5.462,9.155,5.214,9.67
afraid,7,6.611,7.239,5.45,7.219
afraid,10,5.766,7.93,5.487,7.532
afraid,13,4.478,8.668,6.37,6.796
disgusted,1,4.571,8.552,5.943,7.836
disgusted,4,5.194,9.367,7.234,8.167
disgusted,7,6.608,7.217,6.222,7.65
disgusted,10,5.484,8.037,6.524,7.679
disgusted,13,4.332,8.728,8.481,6.687
melancholic,1,4.478,8.715,5.517,7.586
melancholic,4,5.308,9.242,4.89,9.122
melancholic,7,6.359,7.414,5.033,7.7
melancholic,10,5.59,7.936,5.143,7.355
melancholic,13,4.468,8.721,5.585,7.308
surprised,1,4.714,8.543,5.653,8.612
surprised,4,5.551,9.02,7.566,7.764
surprised,7,6.474,7.301,7.327,7.025
surprised,10,5.812,7.774,6.201,7.976
surprised,13,4.415,8.687,8.618,6.456
calm,1,4.527,8.642,6.388,7.74
calm,4,5.57,9.043,7.072,8.164
calm,7,6.56,7.262,8.44,6.542
calm,10,5.532,7.923,6.625,7.124
calm,13,4.358,8.704,9.385,6.238
