emotion,alpha,sample,nat_sync_c,nat_sync_d,tts_sync_c,tts_sync_d
calm,0.3,1,4.574,8.621,6.111,8.0
calm,0.3,7,6.509,7.293,7.273,7.52
calm,0.3,13,4.258,8.811,8.255,6.424
calm,0.6,1,4.643,8.604,5.866,8.025
calm,0.6,7,6.487,7.29,7.404,7.429
calm,0.6,13,4.269,8.812,8.586,6.624
calm,1.0,1,4.755,8.594,6.797,7.242
calm,1.0,7,6.515,7.277,8.063,6.962
calm,1.0,13,4.35,8.762,8.777,6.132
happy,0.3,1,4.663,8.596,6.468,7.453
happy,0.3,7,6.586,7.265,7.258,7.376
happy,0.3,13,4.433,8.735,7.835,6.979
happy,0.6,1,4.597,8.782,6.467,7.652
happy,0.6,7,6.618,7.243,7.991,6.764
happy,0.6,13,4.254,8.863,8.469,6.397
happy,1.0,1,4.692,8.553,6.062,7.995
happy,1.0,7,6.462,7.374,6.69,7.385
happy,1.0,13,4.396,8.761,7.776,7.023
