category,condition,n,sync_c,sync_c_sd,sync_d,sync_d_sd,delta_c,delta_d,desc
基准,自然录音 (参考),12,5.632,0.745,8.189,0.623,0,0,"真人朗读, 12共同样本"
跨模型对比 (12 样本),Fish S2 Pro (cloud),12,7.571,0.718,7.648,0.644,1.939,-0.541,Fish Audio S2 Pro API
跨模型对比 (12 样本),Qwen3-TTS-VC (cloud),12,7.273,1.113,7.841,1.148,1.641,-0.348,阿里云 DashScope TTS VC
跨模型对比 (12 样本),F5-TTS (local),12,7.241,0.572,7.681,0.62,1.609,-0.508,"F5-TTS Base 本地推理, 零样本语音克隆"
跨模型对比 (12 样本),Qwen3-TTS-0.6B (local),12,6.686,0.923,7.536,0.498,1.054,-0.653,本地部署 0.6B ICL
跨模型对比 (12 样本),CosyVoice2-0.5B (cloud),12,6.589,1.217,7.557,0.772,0.957,-0.632,硅基流动 CosyVoice2-0.5B
跨模型对比 (12 样本),IndexTTS2 (无情感),12,6.815,0.567,7.681,0.657,1.183,-0.508,IndexTTS2 默认推理
跨模型对比 (12 样本),GSV-TTS (GPT-SoVITS),12,6.516,0.961,7.839,0.864,0.884,-0.35,"开源语音克隆, 本地推理"
情感向量 (P2),angry 愤怒,5,8.109,0.932,6.81,0.816,2.477,-1.379,"α=1.0, 5样本"
情感向量 (P2),calm 平静,5,7.582,1.283,7.162,0.803,1.95,-1.027,"α=1.0, 5样本"
情感向量 (P2),surprised 惊讶,5,7.073,1.17,7.567,0.841,1.441,-0.622,"α=1.0, 5样本"
情感向量 (P2),disgusted 厌恶,5,6.881,1.016,7.604,0.552,1.249,-0.585,"α=1.0, 5样本"
情感向量 (P2),happy 快乐,5,6.625,0.819,7.837,0.732,0.993,-0.352,"α=1.0, 5样本"
情感向量 (P2),afraid 害怕,5,5.426,0.633,7.777,1.11,-0.206,-0.412,"α=1.0, 5样本"
情感向量 (P2),sad 悲伤,5,5.423,0.666,7.813,0.81,-0.209,-0.376,"α=1.0, 5样本"
情感向量 (P2),melancholic 忧郁,5,5.234,0.304,7.814,0.749,-0.398,-0.375,"α=1.0, 5样本"
情感强度 (P3),平静 α=0.3,3,7.213,1.073,7.315,0.808,1.581,-0.874,"emo_alpha=0.3, 3样本"
情感强度 (P3),平静 α=0.6,3,7.285,1.364,7.359,0.703,1.653,-0.83,"emo_alpha=0.6, 3样本"
情感强度 (P3),平静 α=1.0,3,7.879,1.003,6.779,0.577,2.247,-1.41,"emo_alpha=1.0, 3样本"
情感强度 (P3),快乐 α=0.3,3,7.187,0.686,7.269,0.254,1.555,-0.92,"emo_alpha=0.3, 3样本"
情感强度 (P3),快乐 α=0.6,3,7.642,1.046,6.938,0.645,2.01,-1.251,"emo_alpha=0.6, 3样本"
情感强度 (P3),快乐 α=1.0,3,6.843,0.867,7.468,0.491,1.211,-0.721,"emo_alpha=1.0, 3样本"
响度归一化后,Fish S2 Pro (cloud) → LUFS,12,5.812,0.74,8.538,0.539,0.18,0.349,LUFS归一化至-23dB
响度归一化后,IndexTTS2 (无情感) → LUFS,12,6.54,0.512,7.992,0.457,0.908,-0.197,LUFS归一化至-23dB
响度归一化后,GSV-TTS (GPT-SoVITS) → LUFS,12,6.707,0.855,7.929,0.816,1.075,-0.26,LUFS归一化至-23dB
响度归一化后,angry 愤怒,5,7.042,0.809,7.293,0.353,1.41,-0.896,LUFS归一化至-23dB
响度归一化后,calm 平静,5,6.985,0.877,7.595,0.334,1.353,-0.594,LUFS归一化至-23dB
