run_id,provider,sample,condition,sync_c,sync_d,src_round
aishell1_ldn_20260707T070936Z,aishell1_test,1,natural_raw,7.489,7.26,r2
aishell1_strict_20260707T081223Z,aishell1_test,1,natural_raw,4.73,8.573,r2
aishell1_strict_20260707T081223Z,aishell1_test,1,tts_raw,6.491,7.36,r2
aishell1_ldn_20260707T070936Z,aishell1_test,2,natural_raw,8.04,7.457,r2
aishell1_strict_20260707T081223Z,aishell1_test,2,natural_raw,5.396,8.774,r2
aishell1_strict_20260707T081223Z,aishell1_test,2,tts_raw,6.6,7.752,r2
aishell1_ldn_20260707T070936Z,aishell1_test,3,natural_raw,9.426,5.698,r2
aishell1_strict_20260707T081223Z,aishell1_test,3,natural_raw,6.337,7.604,r2
aishell1_strict_20260707T081223Z,aishell1_test,3,tts_raw,7.444,7.131,r2
aishell1_ldn_20260707T070936Z,aishell1_test,4,natural_raw,7.511,8.077,r2
aishell1_strict_20260707T081223Z,aishell1_test,4,natural_raw,5.37,9.259,r2
aishell1_strict_20260707T081223Z,aishell1_test,4,tts_raw,6.843,7.941,r2
aishell1_ldn_20260707T070936Z,aishell1_test,5,natural_raw,7.756,7.876,r2
aishell1_strict_20260707T081223Z,aishell1_test,5,natural_raw,5.137,8.32,r2
aishell1_strict_20260707T081223Z,aishell1_test,5,tts_raw,6.161,8.007,r2
aishell1_ldn_20260707T070936Z,aishell1_test,6,natural_raw,7.05,8.525,r2
aishell1_strict_20260707T081223Z,aishell1_test,6,natural_raw,5.326,8.519,r2
aishell1_strict_20260707T081223Z,aishell1_test,6,tts_raw,6.149,7.996,r2
aishell1_ldn_20260707T070936Z,aishell1_test,7,natural_raw,8.545,6.954,r2
aishell1_strict_20260707T081223Z,aishell1_test,7,natural_raw,6.552,7.308,r2
aishell1_strict_20260707T081223Z,aishell1_test,7,tts_raw,6.406,7.828,r2
aishell1_strict_20260707T081223Z,aishell1_test,8,natural_raw,5.979,8.287,r2
aishell1_strict_20260707T081223Z,aishell1_test,8,tts_raw,7.977,6.948,r2
aishell1_strict_20260707T081223Z,aishell1_test,9,natural_raw,6.539,6.696,r2
aishell1_strict_20260707T081223Z,aishell1_test,10,natural_raw,5.335,8.205,r2
aishell1_strict_20260707T081223Z,aishell1_test,10,tts_raw,7.303,6.989,r2
r5_chattts_loudnorm,chattts_loudnorm,1,natural_raw,4.481,8.741,r5
r5_chattts_loudnorm,chattts_loudnorm,1,tts_raw,6.855,7.7,r5
