provider,category,n,sync_c,sync_d,sync_c_std,sync_d_std,samples
indextts2_int_calm_a1.0,intensity,3,7.879,6.779,1.003,0.577,"1,7,13"
f5_gain_p10dB,transform,3,8.176,6.789,0.895,0.371,"3,8,10"
indextts2_emo_angry,emotion,5,8.109,6.81,0.932,0.816,"1,4,7,10,13"
indextts2_int_happy_a0.6,intensity,3,7.642,6.938,1.046,0.645,"1,7,13"
indextts2_emo_calm,emotion,5,7.582,7.162,1.283,0.803,"1,4,7,10,13"
indextts2_int_happy_a0.3,intensity,3,7.187,7.269,0.686,0.254,"1,7,13"
emo_angry_bothnorm,normalized,5,7.064,7.272,0.889,0.373,"1,4,7,10,13"
emo_angry_loudnorm,normalized,5,7.042,7.293,0.809,0.353,"1,4,7,10,13"
indextts2_int_calm_a0.3,intensity,3,7.213,7.315,1.073,0.808,"1,7,13"
indextts2_int_calm_a0.6,intensity,3,7.285,7.359,1.364,0.703,"1,7,13"
emo_angry_durnorm,normalized,5,6.953,7.386,0.853,0.587,"1,4,7,10,13"
f5_gain_p0dB,transform,3,7.331,7.386,0.477,0.239,"3,10,12"
indextts2_int_happy_a1.0,intensity,3,6.843,7.468,0.867,0.491,"1,7,13"
siliconflow,cross_model,13,6.601,7.511,1.166,0.757,"1,2,3,4,5,6,7,8,9,10,11,12,13"
emo_calm_durnorm,normalized,5,6.628,7.518,0.935,0.626,"1,4,7,10,13"
faster_qwen3,cross_model,12,6.686,7.536,0.923,0.498,"1,2,3,4,5,6,7,8,10,11,12,13"
emo_calm_bothnorm,normalized,5,7.019,7.543,0.853,0.323,"1,4,7,10,13"
f5_tts_loudnorm,cross_model,13,7.749,7.545,0.643,0.646,"1,2,3,4,5,6,7,8,9,10,11,12,13"
aishell1_test,other,9,6.819,7.55,0.63,0.443,"1,2,3,4,5,6,7,8,10"
indextts2_emo_surprised,emotion,5,7.073,7.567,1.17,0.841,"1,4,7,10,13"
emo_calm_loudnorm,normalized,5,6.985,7.595,0.877,0.334,"1,4,7,10,13"
indextts2_emo_disgusted,emotion,5,6.881,7.604,1.016,0.552,"1,4,7,10,13"
fish_audio,cross_model,12,7.571,7.648,0.718,0.644,"1,2,3,4,5,6,7,8,10,11,12,13"
f5_tts,cross_model,13,7.19,7.711,0.577,0.604,"1,2,3,4,5,6,7,8,9,10,11,12,13"
