provider,sample,source,emotion,alpha,duration,rms,peak,lufs,f0_mean,f0_std,spec_centroid,spec_rolloff,zcr,sync_c,sync_d,nat_sync_c,nat_sync_d,filepath
gsv_tts,10,r3,,,5.54,0.006133,0.0463,-43.84,208.0,55.8,1617.0,3093.0,0.13224,7.027,6.947,5.621,7.895,data/gsv-tts/10gsv.wav
gsv_tts,11,r3,,,9.74,0.009967,0.1001,-39.41,209.5,68.5,1303.0,2529.0,0.080747,5.776,7.616,6.056,7.794,data/gsv-tts/11gsv.wav
gsv_tts,12,r3,,,10.02,0.007864,0.0588,-41.61,208.7,65.1,1510.0,2919.0,0.104718,7.382,7.041,7.08,7.168,data/gsv-tts/12gsv.wav
gsv_tts,13,r3,,,6.46,0.008648,0.0542,-41.12,227.5,19.4,1460.0,2808.0,0.101004,5.939,8.205,4.341,8.86,data/gsv-tts/13gsv.wav
gsv_tts,1,r3,,,5.74,0.007602,0.0656,-42.3,231.9,15.9,1804.0,3334.0,0.132609,5.709,8.298,4.839,8.562,data/gsv-tts/1gsv.wav
gsv_tts,2,r3,,,5.06,0.007963,0.0554,-41.97,237.1,15.8,1412.0,2713.0,0.102441,7.366,7.918,5.273,8.814,data/gsv-tts/2gsv.wav
gsv_tts,3,r3,,,5.1,0.008189,0.0581,-41.7,224.6,19.4,1644.0,3091.0,0.12673,7.228,7.228,6.457,7.569,data/gsv-tts/3gsv.wav
gsv_tts,4,r3,,,7.5,0.009984,0.0704,-39.37,195.7,68.9,1427.0,2744.0,0.092825,5.546,8.585,5.53,9.027,data/gsv-tts/4gsv.wav
gsv_tts,5,r3,,,5.98,0.008113,0.0661,-41.8,225.7,16.1,1288.0,2577.0,0.084334,6.579,8.289,5.242,8.321,data/gsv-tts/5gsv.wav
gsv_tts,6,r3,,,5.82,0.007713,0.0898,-42.79,210.9,50.3,1234.0,2378.0,0.077572,4.816,9.838,5.565,8.289,data/gsv-tts/6gsv.wav
gsv_tts,7,r3,,,5.06,0.00654,0.0521,-43.91,230.6,17.1,1466.0,2796.0,0.101093,8.102,7.016,6.473,7.347,data/gsv-tts/7gsv.wav
gsv_tts,8,r3,,,4.9,0.007973,0.05,-42.13,236.0,19.6,1423.0,2742.0,0.099505,6.724,7.085,6.04,8.332,data/gsv-tts/8gsv.wav
gsv_tts,9,r3,,,5.38,0.00787,0.0587,-42.25,235.0,19.0,1499.0,2763.0,0.096293,4.509,8.884,6.308,6.922,data/gsv-tts/9gsv.wav
fish_audio,1,r2,,,5.059,0.189035,0.9606,-14.53,238.6,15.5,1987.0,3836.0,0.14478,7.3,7.674,4.631,8.689,runs/r2_fish_audio_20260707T150723Z/02_tts/1.wav
fish_audio,10,r2,,,5.1984,0.214514,0.9262,-13.87,230.4,19.8,1603.0,3041.0,0.111721,7.691,6.818,5.553,8.001,runs/r2_fish_audio_20260707T150723Z/02_tts/10.wav
fish_audio,11,r2,,,6.1271,0.159712,0.8334,-16.38,240.8,22.9,1339.0,2572.0,0.07987,7.268,7.734,6.065,7.753,runs/r2_fish_audio_20260707T150723Z/02_tts/11.wav
fish_audio,12,r2,,,5.9878,0.174525,0.9144,-15.67,227.4,22.9,1643.0,3272.0,0.113842,9.195,6.585,7.226,7.1,runs/r2_fish_audio_20260707T150723Z/02_tts/12.wav
fish_audio,13,r2,,,5.6627,0.261878,0.9459,-12.03,230.7,18.5,1673.0,3374.0,0.115618,7.158,8.121,4.336,8.645,runs/r2_fish_audio_20260707T150723Z/02_tts/13.wav
fish_audio,2,r2,,,4.5018,0.223291,0.9345,-13.49,242.8,14.9,1594.0,3154.0,0.106667,6.983,8.512,5.385,8.646,runs/r2_fish_audio_20260707T150723Z/02_tts/2.wav
