group,condition,sample,orig_sync_c,orig_sync_d,loudnorm_sync_c,loudnorm_sync_d,durnorm_sync_c,durnorm_sync_d,bothnorm_sync_c,bothnorm_sync_d
emotion,happy,1,5.496,8.411,4.476,8.888,4.16,9.296,4.319,8.919
emotion,happy,4,6.423,8.646,5.609,8.667,5.43,8.842,5.625,8.867
emotion,happy,7,6.793,7.572,5.824,8.078,5.903,7.936,5.943,7.983
emotion,happy,10,6.631,7.758,5.595,7.942,5.489,7.989,5.49,7.986
emotion,happy,13,7.783,6.796,6.551,7.196,6.803,7.244,6.619,7.045
emotion,angry,1,6.985,7.547,5.841,7.782,5.631,7.974,5.648,7.883
emotion,angry,4,7.875,7.746,7.6,7.52,7.042,8.055,7.81,7.333
emotion,angry,7,9.048,6.339,7.557,7.197,7.405,7.132,7.476,7.171
emotion,angry,10,7.546,6.593,6.563,7.039,6.776,6.983,6.748,7.034
emotion,angry,13,9.089,5.824,7.651,6.925,7.912,6.786,7.636,6.938
emotion,sad,1,5.004,7.819,3.585,8.688,3.756,8.248,3.589,8.61
emotion,sad,4,5.122,8.806,4.075,9.312,4.272,9.262,4.348,9.308
emotion,sad,7,4.828,7.826,3.96,8.418,3.862,8.012,3.89,8.323
emotion,sad,10,5.7,8.057,4.67,8.171,4.746,8.334,4.628,8.264
emotion,sad,13,6.461,6.557,5.304,7.296,5.228,7.146,5.186,7.471
emotion,afraid,1,4.611,7.669,3.845,7.912,3.763,7.826,3.854,7.859
emotion,afraid,4,5.214,9.67,3.994,10.194,3.701,10.264,4.138,10.03
emotion,afraid,7,5.45,7.219,4.238,8.227,3.633,8.311,4.17,8.299
emotion,afraid,10,5.487,7.532,4.255,8.098,4.47,7.872,4.345,8.137
emotion,afraid,13,6.37,6.796,5.321,7.496,5.327,7.322,5.293,7.576
emotion,disgusted,1,5.943,7.836,5.758,7.678,5.686,7.778,5.95,7.477
emotion,disgusted,4,7.234,8.167,5.791,9.023,6.008,8.917,5.783,8.897
emotion,disgusted,7,6.222,7.65,5.549,7.746,5.289,7.937,5.686,7.693
emotion,disgusted,10,6.524,7.679,5.561,7.961,5.695,7.854,5.541,7.945
emotion,disgusted,13,8.481,6.687,7.553,7.451,7.214,7.555,7.586,7.4
emotion,melancholic,1,5.517,7.586,4.75,8.474,3.826,8.319,4.876,8.415
emotion,melancholic,4,4.89,9.122,4.193,9.913,4.107,9.535,4.414,9.757
emotion,melancholic,7,5.033,7.7,4.931,8.1,4.067,7.964,4.845,8.237
emotion,melancholic,10,5.143,7.355,4.749,7.916,4.336,7.412,4.761,8.011
emotion,melancholic,13,5.585,7.308,5.897,7.539,4.827,7.485,5.767,7.637
emotion,surprised,1,5.653,8.612,4.403,9.096,4.322,9.03,4.701,8.861
emotion,surprised,4,7.566,7.764,6.942,8.026,6.601,8.336,6.711,8.396
emotion,surprised,7,7.327,7.025,5.965,7.724,5.925,7.675,5.522,8.033
emotion,surprised,10,6.201,7.976,5.738,7.891,6.261,7.292,5.709,7.846
emotion,surprised,13,8.618,6.456,7.188,7.339,7.244,7.334,7.406,7.171
emotion,calm,1,6.388,7.74,5.557,7.937,5.423,7.811,5.618,7.804
emotion,calm,4,7.072,8.164,7.102,7.937,6.46,8.27,7.077,7.94
emotion,calm,7,8.44,6.542,7.826,7.334,7.815,6.703,7.643,7.429
emotion,calm,10,6.625,7.124,6.899,7.217,6.177,7.067,6.995,7.148
emotion,calm,13,9.385,6.238,7.543,7.552,7.265,7.739,7.763,7.394
fish,fish,1,7.3,,4.562,9.378,5.471,8.865,4.625,9.307
fish,fish,2,6.983,,5.633,8.717,5.682,8.902,5.641,8.603
fish,fish,3,8.7,,6.277,8.469,6.377,8.438,6.249,8.45
fish,fish,4,7.211,,5.719,8.717,6.176,8.38,5.668,8.636
fish,fish,5,8.001,,6.23,8.36,6.562,8.077,6.172,8.466
fish,fish,6,6.828,,5.535,9.196,6.166,8.766,5.388,9.461
