transform_type,transform_param,sample,sync_c,sync_d,delta_c,delta_d
gain,-10,3,6.154,8.062,-1.1509999999999998,0.9239999999999995
gain,-10,6,5.117,9.548,-1.428,0.6300000000000008
gain,-10,8,7.095,7.909,-1.3750000000000009,0.843
gain,-10,10,6.485,7.625,-0.476,0.020999999999999908
gain,-10,12,6.516,8.303,-1.1360000000000001,0.7070000000000007
gain,-5,3,7.229,7.105,-0.07599999999999962,-0.032999999999999474
gain,-5,6,5.965,9.124,-0.5800000000000001,0.2060000000000013
gain,-5,8,7.203,7.922,-1.2670000000000003,0.8559999999999999
gain,-5,10,6.597,7.694,-0.3639999999999999,0.08999999999999986
gain,-5,12,6.748,8.071,-0.9039999999999999,0.47499999999999964
gain,0,3,7.311,7.146,0.006000000000000227,0.008000000000000007
gain,0,6,6.724,8.657,0.17900000000000027,-0.26099999999999923
gain,0,8,8.326,7.243,-0.14400000000000013,0.1770000000000005
gain,0,10,6.864,7.624,-0.09700000000000042,0.019999999999999574
gain,0,12,7.818,7.387,0.16599999999999948,-0.20900000000000052
gain,5,3,7.609,7.053,0.30400000000000027,-0.08499999999999996
gain,5,6,6.672,8.99,0.12699999999999978,0.07200000000000095
gain,5,8,8.813,6.704,0.34299999999999997,-0.3620000000000001
gain,5,10,7.351,7.398,0.3899999999999997,-0.2060000000000004
gain,5,12,8.279,7.231,0.6269999999999998,-0.3650000000000002
gain,10,3,7.708,6.856,0.40300000000000047,-0.28200000000000003
gain,10,6,6.689,9.127,0.14400000000000013,0.2090000000000014
gain,10,8,9.208,6.39,0.7379999999999995,-0.6760000000000002
gain,10,10,7.612,7.122,0.6509999999999998,-0.4820000000000002
gain,10,12,9.113,6.64,1.4609999999999994,-0.9560000000000004
lowpass,3000,3,5.079,8.882,-2.226,1.7439999999999998
lowpass,3000,6,4.219,10.077,-2.3259999999999996,1.1590000000000007
lowpass,3000,8,5.983,8.797,-2.487000000000001,1.7310000000000008
lowpass,3000,10,5.088,8.511,-1.8730000000000002,0.9069999999999991
lowpass,3000,12,5.528,8.962,-2.1240000000000006,1.3659999999999997
lowpass,6000,3,6.293,7.5,-1.0119999999999996,0.3620000000000001
lowpass,6000,6,6.151,8.509,-0.39400000000000013,-0.4089999999999989
lowpass,6000,8,6.964,7.953,-1.5060000000000002,0.8870000000000005
lowpass,6000,10,6.894,7.502,-0.06700000000000017,-0.10200000000000031
lowpass,6000,12,7.224,7.588,-0.42799999999999994,-0.008000000000000007
lowpass,8000,3,7.284,7.158,-0.020999999999999908,0.020000000000000462
lowpass,8000,6,6.244,8.855,-0.30100000000000016,-0.06299999999999883
lowpass,8000,8,8.297,7.203,-0.17300000000000004,0.13700000000000045
lowpass,8000,10,6.884,7.691,-0.07699999999999996,0.08699999999999974
lowpass,8000,12,8.052,7.366,0.39999999999999947,-0.23000000000000043
baseline,0,3,7.305,7.138,0.0,0.0
baseline,0,6,6.545,8.918,0.0,0.0
baseline,0,8,8.47,7.066,0.0,0.0
baseline,0,10,6.961,7.604,0.0,0.0
baseline,0,12,7.652,7.596,0.0,0.0
